855,327,731,342,889,173,558,440,548,694,3,295,991,966,442,115,588,902,462,704,497,473,661,914,532,695
874,818,737,267,113,174,5,99,638,464,61,118,62,772,225,877,887,601,890,407,764,904,662,191,797,599
663,164,54,567,282,829,472,446,741,991,324,893,220,168,681,862,877,270,894,379,303,590,920,315,909,972
596,671,680,312,414,945,297,514,464,741,501,196,979,52,928,12,390,452,110,146,493,93,140,34,781,339
513,427,868,407,533,922,590,468,343,258,297,439,957,151,970,440,584,299,792,554,589,405,387,872,270,759
301,73,779,490,657,906,341,648,87,676,47,973,636,39,622,354,487,538,344,51,10,376,439,458,301,288
892,85,405,658,969,638,884,852,409,735,468,188,830,233,957,462,178,113,549,551,250,906,702,99,503,163
543,407,723,829,536,583,525,74,943,158,756,890,631,345,880,468,799,100,367,650,673,231,649,744,345,391
362,343,44,251,519,226,226,673,501,986,743,671,523,804,397,784,158,231,40,491,528,731,686,431,192,845
682,91,222,694,523,260,456,431,726,549,400,396,123,850,931,13,557,394,366,575,844,731,420,982,14,83
741,711,882,390,712,445,873,935,241,543,576,682,577,261,342,765,701,566,623,199,460,837,181,792,714,958
207,921,696,332,492,32,170,300,939,138,474,511,786,968,328,424,807,944,712,909,684,162,361,254,66,561
410,365,780,110,596,829,164,841,688,583,47,646,398,960,354,695,304,626,952,915,653,363,914,998,499,872
879,866,360,877,221,826,576,744,33,279,681,954,531,198,420,589,339,713,82,322,637,973,919,237,406,506
166,896,410,859,487,901,951,653,789,766,158,152,378,122,457,797,873,166,914,867,957,425,288,474,866,368
448,246,71,885,248,814,76,81,994,935,777,353,876,913,486,164,936,145,248,542,709,250,843,420,544,60
587,327,439,882,434,328,852,38,375,484,101,863,505,552,212,836,581,595,978,434,924,52,544,705,374,259
800,233,55,931,834,949,304,726,59,68,865,694,362,106,240,237,578,716,505,114,516,963,890,463,857,351
335,896,347,466,279,317,281,158,535,896,337,433,344,804,315,472,305,738,574,996,942,451,153,842,819,120
314,41,55,260,472,468,410,687,499,367,195,871,2,108,882,236,91,252,569,122,811,742,317,209,791,426
803,871,204,138,960,756,796,733,717,5,506,403,693,680,348,185,984,50,267,439,326,113,794,643,941,346
676,42,748,687,686,776,915,92,602,76,337,774,807,234,280,852,392,361,37,107,460,439,780,641,988,393
301,576,68,430,937,341,417,736,835,940,829,744,655,694,781,975,936,562,873,920,998,331,969,96,158,400
459,608,522,49,212,174,562,396,260,454,742,448,773,931,221,303,465,950,655,121,967,79,89,431,744,801
469,991,301,35,676,494,997,913,420,14,347,810,499,92,138,95,446,579,978,557,752,14,253,386,886,916
848,586,251,696,730,790,874,915,761,755,515,261,85,444,13,544,327,476,714,389,905,613,909,804,937,273
