0,417,-2,377,412,444,-8,421,92,199,140,7,295,297,287,380,368,404,163,364,178,266,55,314,25,456
42,0,186,210,494,115,293,180,495,24,142,353,181,381,96,459,5,414,328,108,479,277,295,284,392,107
163,412,0,470,312,309,196,284,123,9,458,494,30,338,423,27,164,374,434,129,286,182,17,12,216,393
393,414,348,0,369,-7,-4,42,161,113,81,-6,429,105,54,308,0,272,366,85,464,227,182,276,452,422
179,83,332,410,0,166,47,174,475,373,285,298,86,461,407,487,300,59,137,79,360,309,326,161,179,380
276,250,386,112,470,0,24,406,315,316,135,306,268,271,471,402,270,118,253,166,25,196,121,54,492,361
126,312,489,119,326,105,0,362,470,47,284,-3,407,332,454,454,398,12,364,406,336,169,432,81,53,71
2,421,251,81,431,296,40,0,95,64,495,467,240,469,-3,60,214,373,260,117,180,354,432,482,345,53
402,41,82,223,422,14,130,375,0,366,463,432,419,354,193,276,399,178,413,41,62,69,380,13,443,259
0,89,287,230,116,266,404,415,457,0,335,405,84,75,280,445,473,86,478,108,184,17,262,436,259,312
192,227,190,212,53,30,455,379,453,299,0,-2,387,128,210,391,125,425,452,282,15,91,446,35,279,474
193,0,447,378,375,451,407,9,93,178,121,0,388,194,245,433,200,108,358,150,84,474,270,342,8,360
242,202,409,366,36,220,401,73,53,62,256,451,0,221,452,459,409,228,343,449,102,197,7,135,352,128
427,127,250,390,353,345,477,478,132,35,493,14,341,0,345,374,312,37,58,295,235,243,165,383,51,401
393,76,259,271,486,395,92,55,243,26,333,331,474,408,0,383,360,70,127,229,15,105,246,427,101,33
77,441,230,124,40,50,71,306,354,300,165,113,7,368,384,0,63,363,181,91,85,39,334,170,363,276
119,409,54,178,235,3,217,201,361,384,292,197,115,109,159,165,0,152,175,60,208,250,193,377,249,254
384,321,31,357,55,240,474,279,109,103,410,239,475,477,374,251,489,0,57,477,-9,430,305,321,49,337
271,4,69,5,446,19,102,320,105,300,321,166,397,298,336,325,266,23,0,118,115,380,232,143,35,182
311,33,174,142,483,397,394,260,242,203,70,282,409,464,466,202,133,428,351,0,313,97,401,210,291,346
402,88,216,406,496,183,395,74,80,268,299,457,158,4,35,418,278,0,99,491,0,150,397,237,399,16
107,120,1,40,267,379,27,79,349,95,481,170,404,187,380,-8,408,54,382,59,265,0,460,64,298,0
297,349,18,297,93,479,121,6,350,91,363,399,436,113,346,63,475,47,280,414,192,236,0,20,136,17
357,150,304,365,205,356,85,239,193,284,343,110,402,381,412,268,373,351,23,101,392,70,65,0,396,180
175,442,450,307,167,188,302,112,296,208,273,476,125,42,278,111,295,90,466,333,417,113,480,118,0,317
287,13,434,131,230,398,145,413,108,60,383,115,140,58,-2,398,117,273,411,214,315,486,267,68,58,0
